movie;director
tt0056592;nm0612322
tt0056628;nm0440869
tt0056636;nm0894577
tt0056663;nm0000419
tt0056732;nm0000320
tt0056825;nm0001415
tt0056860;nm0038906
tt0056868;nm0772259
tt0056923;nm0002045
tt0056930;nm0001023
tt0056945;nm0598102
tt0056966;nm0958801
tt0056982;nm0301145
tt0056983;nm0000338
tt0057012;nm0000040
tt0057058;nm0001501
tt0057083;nm0861703
tt0057163;nm0728688
tt0057171;nm0001120
tt0057180;nm0548529
tt0057227;nm0625383
tt0057229;nm0313745
tt0057232;nm0514816
tt0057232;nm0592807
tt0057239;nm0285302
tt0057336;nm0720297
tt0057344;nm0894577
tt0057360;nm0789520
tt0057427;nm0000080
tt0057490;nm0521334
tt0057503;nm0849080
tt0057507;nm0290118
tt0057530;nm0038895
tt0057542;nm0624809
tt0057546;nm0718627
tt0057546;nm0314671
tt0057546;nm0359457
tt0057569;nm0000197
tt0057569;nm8466308
tt0057569;nm0415911
tt0057569;nm0375494
tt0057569;nm0384335
tt0057569;nm0000339
tt0057569;nm0000338
tt0057578;nm0000755
tt0057579;nm0149548
tt0057591;nm0491626
tt0057611;nm0000005
tt0057654;nm0673051
tt0057714;nm0946638
tt0057715;nm0849080
tt0057809;nm0780833
tt0057812;nm0657162
tt0057859;nm0556140
tt0057859;nm0689565
tt0057869;nm0000419
tt0057919;nm0858873
tt0057933;nm0623768
tt0057935;nm0006249
tt0057967;nm0653620
tt0057997;nm0002134
tt0058006;nm0733790
tt0058050;nm0279807
